time_ms,ax,ay,az,gx,gy,gz
8940,3.667,-0.024,-7.939,-3.718,-54.313,9.198
8990,3.765,-0.228,-8.972,8.420,-56.840,17.511
9040,2.857,-0.084,-8.953,6.832,-64.672,15.672
9091,3.102,-0.903,-8.785,9.771,-53.656,16.290
9143,1.897,-0.596,-8.919,5.718,-33.595,10.496
9193,2.160,-0.515,-8.953,2.664,-34.824,8.046
9243,1.871,-0.675,-8.775,-1.725,-18.870,6.389
9293,1.480,-0.683,-8.751,-0.718,-26.863,4.244
9344,1.018,-0.644,-9.173,0.206,-27.092,4.527
9394,1.063,-0.730,-9.262,-1.221,-22.840,3.450
9443,1.037,-0.757,-9.135,0.977,-7.198,-0.641
9493,1.051,-0.726,-9.185,-3.947,-5.473,1.374
9543,0.575,-0.798,-9.192,1.763,-4.664,-0.626
9593,0.917,-0.996,-9.022,-2.557,-1.084,0.496
9644,0.654,-0.874,-9.039,1.168,1.076,0.664
9694,0.874,-0.881,-9.159,-3.023,3.878,-1.924
9743,0.728,-0.709,-8.874,-1.031,6.779,0.145
9793,0.934,-0.905,-9.151,-1.794,7.511,-2.206
9843,1.051,-0.793,-9.058,-4.550,8.137,-0.687
9893,1.085,-0.771,-8.950,-0.229,14.496,-3.137
9944,1.186,-0.826,-9.226,1.275,24.000,-2.191
9993,1.365,-0.901,-8.986,0.145,22.725,-2.962
10043,1.832,-1.042,-9.096,-1.511,20.427,-2.496
10093,1.636,-1.265,-9.226,1.267,22.298,-0.519
10143,1.909,-0.968,-8.804,0.679,26.321,-0.580
10193,2.160,-1.430,-8.756,4.069,33.832,0.481
10244,2.201,-0.627,-9.022,-3.092,33.031,7.069
10293,2.620,-1.221,-9.029,-2.397,31.901,1.748
10343,3.152,-1.262,-8.529,-0.855,23.786,1.046
10393,3.262,-1.233,-8.385,-11.511,39.573,4.504
10443,3.528,-1.245,-8.474,-2.519,52.702,0.557
10493,3.969,-1.004,-8.325,-2.756,51.328,0.336
10544,4.378,-1.427,-8.172,-4.626,50.863,-4.160
10593,4.773,-1.150,-8.047,2.137,42.305,-0.954
10643,4.903,-1.339,-7.762,9.046,39.099,1.008
10693,5.446,-1.662,-7.446,9.359,36.992,-0.153
10743,5.394,-1.245,-7.702,1.107,23.290,-1.458
10793,5.796,-1.595,-7.302,2.595,18.290,2.244
10844,5.930,-1.425,-7.290,11.992,26.298,2.252
10893,5.935,-1.724,-6.764,14.176,45.771,-2.389
10943,6.352,-1.787,-7.044,8.237,53.481,-12.321
10993,6.577,-1.770,-6.646,8.878,43.290,-9.885
11043,6.905,-1.772,-6.277,5.702,36.389,-6.992
11094,7.128,-1.851,-6.083,6.702,42.366,-7.924
11144,7.554,-2.084,-5.473,9.832,50.870,-5.435
11193,7.741,-1.739,-4.986,14.023,76.565,-4.748
11243,8.268,-1.777,-5.006,7.985,78.305,-14.489
11293,8.696,-1.902,-4.256,11.183,74.069,-9.878
11343,8.692,-1.947,-4.141,4.405,54.115,-10.153
11394,8.926,-1.835,-3.621,1.061,37.168,-10.962
11444,9.082,-1.595,-3.281,0.191,30.588,-4.160
11494,9.226,-1.748,-2.819,1.527,28.412,-3.176
11544,9.302,-1.801,-2.419,2.244,29.611,-4.893
11594,9.412,-1.746,-2.369,3.656,47.885,-10.466
11644,9.707,-1.588,-1.794,6.458,57.137,-14.359
11695,9.537,-1.540,-1.399,2.466,56.664,-15.565
11744,9.951,-1.413,-0.929,4.588,56.099,-14.099
11794,9.714,-1.312,-0.829,1.290,45.427,-16.908
11844,9.908,-1.214,-0.388,-1.260,28.275,-11.557
11894,10.023,-1.195,0.096,-0.763,32.252,-5.191
11944,9.908,-0.968,-0.189,-2.534,21.634,-8.496
11995,10.050,-0.987,0.759,-0.878,25.366,-7.710
12044,10.258,-1.099,0.611,-1.069,28.481,-10.725
12094,9.951,-0.889,0.917,-2.740,26.542,-6.855
12144,10.038,-0.774,0.831,-1.664,17.550,-7.824
12194,9.899,-0.790,1.116,-1.153,7.847,-3.863
12244,9.966,-0.577,0.948,2.107,-4.282,-4.489
12295,10.315,-0.977,0.941,-3.328,-8.313,5.855
12344,9.944,-0.568,0.865,3.443,-23.748,0.832
12394,10.028,-1.054,1.320,0.351,-2.550,0.924
12444,10.157,-0.726,1.023,0.931,6.924,-1.183
12494,10.255,-1.078,0.972,-2.153,1.893,0.893
12545,10.119,-0.783,0.836,-5.244,1.168,1.756
12595,10.160,-0.896,1.078,-4.450,0.252,-0.359
12644,10.042,-0.754,0.944,-1.466,0.092,1.099
12694,10.033,-0.836,0.965,-2.336,-0.450,1.695
12744,10.028,-1.013,1.083,-2.534,2.748,-0.046
12794,10.028,-1.049,0.965,-2.527,0.954,0.969
12845,9.923,-0.829,0.980,-2.802,-0.710,0.206
12895,9.925,-0.975,0.929,-4.580,6.069,2.824
12945,10.002,-1.004,1.087,-3.168,1.878,-1.771
12995,10.291,-0.946,0.654,-5.489,-4.908,6.702
13045,9.803,-1.035,1.284,4.466,29.115,6.420
13095,9.896,-1.027,1.348,0.160,31.748,16.267
13146,10.272,-1.712,2.136,12.840,42.649,8.702
13195,10.023,-1.133,2.405,17.214,66.832,11.466
13245,10.035,-1.317,2.951,26.710,62.206,7.809
13295,10.172,-1.423,3.312,25.733,70.855,13.198
13345,9.918,-1.662,3.930,63.374,118.122,10.779
