time_ms,ax,ay,az,gx,gy,gz
10671,0.184,9.779,0.443,-3.832,0.672,-0.893
10720,0.184,9.800,0.469,-3.878,0.771,-0.931
10770,0.232,9.822,0.410,-3.832,0.855,-0.748
10820,0.254,9.779,0.417,-4.198,0.824,-0.832
10870,0.160,9.774,0.445,-3.008,0.656,-0.779
10920,0.228,9.793,0.493,-3.748,0.992,-0.809
10971,0.251,9.846,0.386,-4.679,0.595,-0.664
11020,0.204,9.757,0.486,-4.527,0.817,-0.840
11070,0.127,9.755,0.422,-5.160,-0.771,-0.641
11120,0.208,9.733,0.513,-4.267,0.763,-0.603
11170,0.201,9.798,0.453,-3.924,0.824,-0.779
11220,0.194,9.760,0.489,-4.427,0.786,-0.649
11271,0.139,9.810,0.383,-1.191,0.847,-0.832
11320,0.192,9.793,0.462,-4.229,0.672,-0.924
11370,0.184,9.767,0.484,-4.023,0.740,-0.679
11420,0.168,9.745,0.426,-3.931,0.855,-0.740
11470,0.230,9.810,0.422,-4.443,0.626,-0.802
11521,0.175,9.793,0.541,-3.489,0.511,-0.733
11571,0.122,9.824,0.467,-4.382,0.847,-0.763
11620,0.170,9.800,0.424,-3.641,0.924,-0.718
11670,0.187,9.750,0.352,-4.321,0.885,-0.679
11720,0.208,9.755,0.481,-3.786,0.779,-0.924
11770,0.199,9.753,0.525,-3.252,0.725,-0.771
11821,0.172,9.810,0.525,-3.076,0.748,-0.977
11871,0.175,9.709,0.450,-4.351,0.756,-0.649
11921,0.168,9.736,0.477,-3.779,0.748,-0.794
11971,0.144,9.717,0.457,-3.412,0.023,-0.748
12021,0.211,9.788,0.419,-4.374,0.695,-0.733
12071,0.184,9.808,0.426,-3.160,0.740,-0.878
12122,0.127,9.702,0.410,-3.962,0.802,-0.855
12171,0.103,9.774,0.486,-4.420,0.725,-0.824
12221,0.129,9.760,0.400,-3.634,0.817,-0.779
12271,0.225,9.781,0.400,-4.466,0.809,-0.824
12321,0.165,9.741,0.455,-3.794,0.756,-0.740
12371,0.184,9.788,0.467,-4.053,0.702,-0.756
12422,0.213,9.784,0.422,-3.786,0.695,-0.679
12471,0.194,9.784,0.493,-3.115,0.763,-0.947
12521,0.120,9.764,0.496,-3.817,0.687,-0.740
12571,0.201,9.798,0.390,-4.008,0.840,-0.931
12621,0.158,9.726,0.402,-3.527,0.626,-0.725
12672,0.184,9.738,0.443,-3.634,0.748,-0.702
12722,0.189,9.827,0.388,-4.183,0.832,-0.679
12771,0.196,9.832,0.443,-4.237,0.656,-0.786
12821,0.144,9.757,0.400,-3.756,0.763,-0.985
12871,0.184,9.767,0.551,-4.916,0.679,-0.718
12921,0.218,9.767,0.517,-2.588,0.718,-0.893
12972,0.201,9.743,0.520,-4.489,0.740,-0.748
13022,0.206,9.764,0.501,-3.763,0.802,-0.611
13071,0.177,9.719,0.388,-3.527,0.603,-0.641
13121,0.125,9.774,0.474,-4.649,0.710,-0.756
13171,0.139,9.832,0.453,-4.115,0.595,-0.771
13221,0.158,9.772,0.450,-3.863,0.756,-0.740
13272,0.098,9.781,0.450,-3.824,0.748,-0.733
13321,0.187,9.812,0.393,-3.962,0.702,-0.763
13371,0.170,9.755,0.453,-4.023,0.710,-0.718
13421,0.172,9.817,0.371,-4.176,0.725,-0.672
13471,0.177,9.731,0.474,-3.817,0.855,-0.710
13521,0.160,9.788,0.378,-3.649,0.695,-0.901
13572,0.237,9.748,0.417,-4.443,0.740,-0.618
13621,0.180,9.776,0.501,-3.237,0.794,-1.023
13671,0.153,9.827,0.445,-4.427,0.534,-0.763
13721,0.196,9.784,0.462,-3.649,0.763,-0.908
13771,0.208,9.743,0.453,-3.962,0.901,-0.947
