time_ms,ax,ay,az,gx,gy,gz
13118,10.179,-0.086,0.848,9.45,-1.542,-1.511
13168,10.097,0.067,0.843,3.771,-0.779,0.809
13218,10.191,-0.465,0.491,2.809,-0.489,-2.015
13268,10.435,-0.223,0.594,-1.282,1.824,-4.924
13319,10.255,-0.125,0.426,3.489,4.679,-7.29
13368,10.059,-0.113,0.812,8.557,4.649,-8.107
13418,10.095,0.204,0.582,10.13,7.092,-5.603
13468,10.208,0.127,0.917,10.794,4.603,-5.412
13518,10.028,0.304,0.85,-0.031,5.099,-3.328
13569,9.961,0.206,0.719,3.519,3.824,-3.832
13619,10.27,0.127,1.145,-0.603,6.244,-0.198
13668,10.33,0.232,0.627,-11.84,5.565,-0.893
13718,10.509,-0.089,1.511,-5.412,4.229,3.046
13768,10.473,0.175,1.035,-15.122,0.863,3.053
13818,10.466,-0.105,1.083,-1.153,-2.519,2.962
13869,10.356,-0.014,0.465,7.786,0.344,1.794
13919,10.385,0.093,0.936,-3.122,-0.718,0.397
13968,10.323,0.06,0.68,-11.695,2.092,0.969
14018,10.188,0.12,0.884,0.687,1.55,4.084
14068,9.937,-0.199,1.286,-11.695,0.885,4.542
14118,10.303,-0.168,0.845,-6.763,-1.229,7.008
14169,10.1,-0.51,0.901,-2.458,-1.641,6.366
14219,10.258,-0.429,0.687,-9.779,-1.55,3.458
14268,10.454,-0.577,0.853,-3.748,-0.809,3.916
14318,10.246,-0.374,0.721,-12.282,-1.282,2.489
14368,10.258,-0.429,0.948,-9.977,-1.901,3.214
14418,10.105,-0.259,0.62,-4.366,-2.267,4.412
14469,10.014,-0.491,0.953,-11.924,-1.817,5.504
14519,10.059,-0.584,0.683,-12.267,-0.351,6.183
14569,9.925,-0.752,0.74,-3.183,0.962,6.366
14619,10.021,-0.788,0.745,4.992,1.557,5.237
14669,9.899,-0.714,0.525,2.557,3.076,3.847
14720,9.178,-1.027,1.212,-0.115,2.473,2.603
14770,9.096,-1.202,0.865,-1.092,4.137,-2.771
14819,9.039,-0.489,0.8,-1.748,4.565,-3.435
14869,9.0,-0.328,1.006,-0.031,2.649,0.45
14919,9.42,-0.472,0.972,-2.122,2.023,3.511
14969,9.786,-0.563,1.083,-4.13,1.481,5.565
15020,10.26,-0.678,1.066,-6.206,0.603,6.565
15070,10.706,-0.721,0.944,-8.489,0.046,7.153
15119,11.019,-0.893,0.992,-10.771,-0.603,7.496
15169,11.187,-0.941,0.893,-12.26,-1.084,7.473
15219,11.35,-0.999,0.924,-13.718,-1.664,7.267
15269,11.501,-1.095,0.97,-14.863,-2.252,6.74
15320,11.384,-1.154,0.905,-15.534,-3.0,5.977
15370,11.264,-1.212,0.829,-15.817,-3.702,5.069
15419,11.108,-1.265,0.819,-15.489,-4.275,3.832
15469,10.833,-1.265,0.62,-14.504,-4.191,2.557
15519,10.514,-1.315,0.565,-12.641,-3.817,1.397
15569,10.069,-1.31,0.51,-10.45,-2.985,0.672
15620,9.726,-1.308,0.472,-7.603,-1.74,0.313
15670,9.377,-1.305,0.371,-4.626,-0.824,0.435
15719,9.063,-1.315,0.455,-1.099,-0.16,1.092
15769,8.785,-1.212,0.453,2.191,0.557,1.87
15819,8.651,-1.267,0.505,5.687,1.008,3.405
15869,8.541,-1.31,0.467,9.084,1.427,4.664
15920,8.66,-1.396,0.489,12.298,2.069,5.878
15970,8.821,-1.581,0.493,14.924,2.504,6.55
16020,8.948,-1.691,0.52,17.29,3.328,6.588
16070,9.175,-1.997,0.57,19.107,3.664,5.519
16120,9.544,-2.153,0.58,20.198,4.168,3.305
16171,9.844,-2.261,0.675,20.458,4.008,0.069
16221,10.222,-2.323,0.79,20.099,4.145,-4.45
16270,10.476,-2.309,0.98,18.893,3.924,-9.168
16320,10.84,-2.23,0.944,17.275,3.244,-14.298
16370,11.008,-2.033,1.03,14.916,1.748,-18.908
16420,11.175,-1.801,1.09,12.275,0.328,-22.573
16471,11.271,-1.542,1.092,9.656,-1.29,-25.168
16521,11.319,-1.183,1.152,6.809,-2.878,-26.397
16570,11.12,-0.85,1.044,4.313,-4.298,-26.527
16620,11.017,-0.644,1.099,2.092,-5.573,-25.557
16670,10.708,-0.362,0.996,0.527,-6.565,-23.275
16720,10.488,-0.065,0.821,-0.565,-7.015,-20.053
16771,10.251,0.12,0.75,-1.046,-7.26,-15.763
16821,9.915,0.307,0.771,-0.718,-7.053,-11.115
16870,9.647,0.445,0.51,0.397,-6.725,-6.099
16920,9.422,0.472,0.525,2.191,-6.168,-0.55
16970,9.247,0.544,0.52,4.519,-5.496,5.29
17020,9.072,0.508,0.445,7.702,-4.985,10.733
17071,8.96,0.364,0.323,11.206,-3.939,15.924
17121,8.931,0.148,0.364,15.26,-2.901,20.252
17170,8.909,-0.062,0.24,19.573,-1.489,24.313
17220,9.084,-0.386,0.283,24.16,0.191,27.397
17270,9.283,-0.637,0.204,28.618,2.122,29.87
17320,9.468,-1.075,0.362,33.008,3.977,31.061
17371,9.714,-1.444,0.414,36.511,5.939,30.542
17420,9.949,-1.902,0.541,38.901,7.527,28.481
17470,10.229,-2.244,0.733,39.733,8.756,24.252
17520,10.411,-2.606,0.994,39.45,9.13,18.168
17570,10.521,-2.864,1.063,37.221,8.336,10.733
17620,10.713,-2.922,1.329,33.939,6.534,2.359
17671,10.687,-2.86,1.48,28.878,3.985,-6.351
17720,10.744,-2.802,1.492,23.214,0.802,-14.26
17770,10.529,-2.579,1.597,16.794,-2.481,-21.267
17820,10.521,-2.361,1.576,9.924,-6.023,-27.183
17870,10.337,-1.971,1.415,3.748,-8.878,-31.366
17921,10.179,-1.629,1.473,-2.053,-11.397,-33.954
17971,9.978,-1.217,1.183,-6.74,-12.969,-35.008
18020,9.884,-0.951,1.066,-10.45,-14.275,-34.664
18070,9.575,-0.62,0.953,-12.672,-14.809,-33.031
18120,9.506,-0.292,0.793,-13.344,-14.855,-30.756
18170,9.386,-0.029,0.608,-12.618,-14.534,-27.282
18221,9.403,0.225,0.422,-10.214,-13.878,-23.221
18271,9.326,0.431,0.354,-6.649,-12.786,-18.603
18320,9.451,0.582,0.146,-1.809,-11.71,-13.481
18370,9.525,0.745,0.081,4.511,-10.107,-7.954
18420,9.705,0.776,-0.084,11.87,-8.107,-1.885
18470,9.82,0.807,-0.242,20.389,-5.282,4.481
18521,10.002,0.692,-0.309,29.489,-1.962,11.229
18571,10.198,0.601,-0.388,38.962,2.405,17.389
18620,10.327,0.275,-0.328,47.985,7.046,23.0
18670,10.437,-0.031,-0.316,56.634,12.031,27.282
18720,10.596,-0.457,-0.125,63.794,16.893,29.618
18770,10.655,-0.865,0.259,69.275,21.099,30.137
18821,10.725,-1.214,0.541,72.206,24.267,28.389
18871,10.687,-1.59,0.941,72.198,25.794,24.817
18921,10.588,-1.801,1.308,69.397,25.466,20.015
18971,10.469,-1.938,1.693,63.008,23.176,14.298
19021,10.308,-1.973,2.036,54.275,19.45,8.954
19072,10.129,-2.024,2.256,42.733,14.374,3.763
19122,9.944,-1.844,2.426,29.679,8.359,-0.069
19171,9.729,-1.799,2.457,15.87,2.939,-2.664
19221,9.566,-1.518,2.321,1.252,-2.305,-4.176
19271,9.343,-1.392,2.191,-12.656,-6.42,-4.55
19321,9.161,-1.375,1.854,-25.321,-9.008,-4.282
19372,9.149,-1.238,1.739,-36.626,-10.779,-3.634
19422,9.07,-1.3,1.511,-46.359,-11.771,-2.855
19471,8.974,-1.358,1.396,-54.26,-12.351,-2.435
19521,9.072,-1.483,1.171,-60.863,-12.649,-2.382
19571,9.211,-1.657,1.133,-65.565,-13.252,-3.344
19621,9.436,-1.772,1.109,-68.328,-14.099,-5.511
19672,9.556,-1.82,0.877,-68.679,-14.916,-8.763
19722,9.764,-1.722,0.503,-66.573,-15.053,-12.366
19771,10.076,-1.516,0.28,-61.947,-14.023,-15.565
19821,10.275,-1.274,-0.048,-55.13,-11.397,-17.519
19871,10.497,-0.951,-0.429,-46.748,-7.183,-17.557
19921,10.61,-0.606,-0.465,-37.382,-1.634,-15.412
19972,10.804,-0.484,-0.532,-27.847,4.328,-11.405
20022,10.864,-0.369,-0.474,-19.084,10.336,-6.58
20071,10.883,-0.472,-0.321,-11.046,15.137,-2.366
20121,10.818,-0.601,-0.017,-4.786,18.977,0.656
20171,10.691,-0.841,0.285,0.13,21.214,1.863
20221,10.533,-1.02,0.601,3.008,21.74,0.985
20272,10.466,-1.205,0.948,3.74,20.824,-1.298
20322,10.155,-1.162,1.142,2.427,18.931,-3.939
20372,10.088,-1.044,1.26,-0.496,16.74,-5.824
20422,9.884,-0.759,1.344,-5.336,14.641,-5.809
20472,9.721,-0.369,1.382,-11.244,12.84,-3.794
20523,9.628,-0.117,1.473,-18.206,11.13,0.366
20573,9.578,0.031,1.499,-25.389,9.389,5.977
20622,9.487,0.014,1.463,-33.374,7.931,12.176
20672,9.42,-0.259,1.641,-41.634,6.237,17.885
20722,9.448,-0.733,1.559,-50.16,4.008,22.511
20772,9.52,-1.277,1.571,-58.748,1.42,24.55
20823,9.594,-1.803,1.535,-66.328,-2.107,23.45
20873,9.738,-2.385,1.401,-72.725,-5.504,18.565
20922,9.81,-2.718,1.19,-77.137,-8.221,10.977
20972,9.999,-2.884,0.922,-79.412,-9.985,1.55
21022,10.155,-2.764,0.697,-79.061,-10.13,-8.252
21072,10.212,-2.354,0.448,-76.084,-8.695,-16.733
21123,10.315,-1.825,0.249,-71.405,-6.13,-22.122
21173,10.416,-1.207,0.093,-65.336,-3.153,-23.802
21222,10.284,-0.68,0.065,-58.489,-0.145,-21.672
21272,10.397,-0.283,0.05,-51.42,2.344,-16.29
21322,10.284,-0.06,0.062,-44.198,4.351,-9.168
21372,10.318,-0.139,0.057,-36.832,5.962,-1.901
21423,10.083,-0.347,0.024,-29.664,7.794,3.496
21473,10.018,-0.793,-0.031,-22.634,10.145,6.214
21522,9.889,-1.109,-0.175,-16.031,13.374,6.221
21572,9.779,-1.372,-0.043,-9.771,17.374,3.985
21622,9.681,-1.463,0.081,-4.908,21.298,0.824
21672,9.575,-1.356,0.268,-1.74,24.366,-2.015
21723,9.59,-1.035,0.788,-1.702,26.115,-3.473
21772,9.578,-0.812,1.238,-4.328,25.878,-2.74
21822,9.582,-0.517,1.629,-10.29,23.87,0.321
21872,9.594,-0.402,2.05,-18.718,19.198,5.115
21922,9.685,-0.414,2.158,-28.656,13.183,11.008
21972,9.733,-0.692,2.273,-39.42,6.107,16.328
22023,9.827,-1.138,2.005,-49.153,-0.489,19.618
22072,10.011,-1.765,1.686,-57.153,-5.718,19.748
22122,10.107,-2.318,1.157,-63.015,-8.359,15.733
22172,10.155,-2.821,0.709,-66.527,-8.015,7.992
22222,10.243,-3.03,0.354,-67.496,-4.947,-1.885
22273,10.378,-3.011,0.192,-66.359,0.076,-12.794
22323,10.32,-2.718,0.206,-64.351,5.634,-21.832
22372,10.339,-2.196,0.333,-62.389,9.824,-28.534
22422,10.303,-1.617,0.821,-60.969,11.954,-31.939
22472,10.294,-0.992,1.231,-60.954,11.321,-31.45
22522,10.253,-0.412,1.439,-62.313,8.679,-27.954
22573,10.255,-0.125,1.605,-64.588,4.267,-22.191
22623,10.208,0.151,1.557,-66.855,-0.718,-15.977
22672,10.136,0.069,1.128,-68.359,-4.733,-10.435
22722,10.1,-0.014,0.845,-69.076,-6.695,-5.985
22772,10.002,-0.12,0.354,-67.786,-5.763,-2.366
22822,9.942,-0.069,0.034,-64.924,-1.382,0.496
22873,9.918,-0.105,-0.175,-61.282,4.504,3.733
22923,9.803,-0.141,-0.072,-57.229,11.023,7.237
22972,9.753,-0.251,0.105,-54.664,16.229,11.328
23022,9.721,-0.39,0.58,-54.382,19.053,15.206
23072,9.762,-0.548,1.214,-56.893,18.351,18.366
23122,9.707,-0.922,1.724,-62.244,13.84,20.252
