time_ms,ax,ay,az,gx,gy,gz
10653,8.634,-0.719,-0.366,-9.641,32.267,2.847
10703,7.911,-1.945,2.654,-62.168,15.443,-5.626
10754,8.272,-2.445,0.462,-25.092,13.229,-5.748
10804,8.55,-6.95,-5.338,-16.13,18.16,-5.771
10854,12.193,1.985,-0.249,39.962,26.069,-16.74
10904,9.889,-0.362,1.794,37.656,1.695,-11.183
10954,10.157,-1.494,0.663,-47.168,-4.374,-11.992
11004,8.699,-0.836,0.85,-44.672,-9.168,-17.313
11055,8.694,-0.331,-0.548,-15.084,0.748,-15.893
11104,8.33,-0.22,0.448,20.763,6.55,-9.947
11154,10.09,-0.165,0.774,21.031,7.763,-1.191
11204,11.4,0.007,-0.022,22.069,-2.794,-3.656
11254,10.255,0.115,1.645,20.061,-9.008,-1.336
11304,10.255,-0.34,0.611,21.962,-11.008,5.672
11355,10.39,-0.723,0.73,18.588,-7.176,4.534
11404,10.397,-0.465,0.01,13.641,0.214,2.115
11454,10.895,-0.493,1.035,28.969,0.382,1.588
11504,11.695,-2.096,0.623,-41.321,7.168,1.908
11554,10.797,-0.62,1.02,-5.992,7.16,3.679
11604,10.416,-0.148,1.315,-21.924,12.496,6.405
11655,8.749,-0.398,0.984,40.305,21.634,6.328
11704,9.542,-0.237,0.469,-9.802,24.939,2.412
11754,6.486,0.146,0.218,30.893,35.969,-1.344
11804,5.006,0.228,1.897,40.733,27.336,-3.74
11854,8.55,-0.012,0.833,43.344,18.702,-5.664
11905,9.264,0.79,2.287,70.183,-1.275,-12.122
11955,8.586,-0.608,2.749,60.473,-27.328,-0.282
12004,10.502,1.018,0.987,22.145,-38.366,6.382
12054,13.604,-2.041,1.171,13.534,-29.626,-7.405
12104,11.29,-0.395,0.915,-6.611,-34.305,-15.229
12154,12.332,0.503,0.623,-26.42,-31.328,-19.84
12205,10.282,0.946,0.886,32.198,-28.763,-2.947
12255,11.063,-0.017,-0.352,25.977,-15.45,1.618
12305,11.142,-0.216,1.183,17.481,-5.366,2.42
12355,11.245,0.295,0.582,1.038,-2.305,-0.237
12405,8.335,-0.043,1.236,-21.573,15.405,-13.679
12455,9.309,0.678,0.692,-2.405,5.947,-7.252
12506,10.136,0.752,-0.41,-15.595,8.924,-0.718
12555,10.1,0.019,0.256,9.817,14.145,0.023
12605,10.267,-0.204,0.963,30.115,18.076,-3.038
12655,9.978,0.46,0.354,-13.901,7.489,-1.855
12705,10.15,0.366,0.438,-18.679,11.046,-3.588
12755,10.038,0.321,1.643,-4.26,11.893,-1.71
12806,9.92,0.757,1.157,-54.527,-1.366,-2.603
12855,10.121,-0.031,1.353,-81.359,-8.695,-3.924
12905,10.028,-0.498,-0.539,-73.076,-0.718,-8.908
12955,9.853,0.541,0.474,19.237,16.519,-7.176
13005,10.109,0.18,0.287,6.504,23.45,0.84
13056,10.093,-0.833,1.308,1.137,8.252,-2.504
13106,9.635,0.86,2.038,-43.382,-0.145,-11.878
13155,10.157,0.695,0.146,4.145,5.588,-2.282
13205,9.791,0.886,1.564,46.122,13.489,8.389
13255,10.088,0.896,1.408,33.779,12.084,11.817
13305,10.186,-0.055,1.403,-15.832,7.718,3.756
13356,9.997,1.128,2.22,-49.115,3.122,1.168
13406,4.357,-7.3,3.116,4.183,-42.55,72.267
13455,9.503,1.511,2.424,-11.351,-0.321,11.405
13505,10.066,-1.478,1.811,-80.908,-10.458,-1.191
13555,9.733,0.139,3.303,-40.496,-23.489,0.076
13605,10.684,-1.356,-0.656,11.084,-33.893,7.198
